,PlayerName,TeamName,Continent,Type,Match1,Match2,Match3,Match4,Match5,Match6,Match7,Match8,Match9,Match10,Match11,TotalRuns,MatchesPlayed,WicketsTaken,OversBowled,RunsConceded,Economy
88,Kagiso Rabada,South Africa,Africa,Bowler,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,25,10,13,72.5,364.0,5.02
89,Tabraiz Shamsi,South Africa,Africa,All-Rounder,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,9,10,9,37.5,212.0,5.65
90,Rassie Van der Dussen,South Africa,Africa,Batter,108.0,26.0,4.0,60.0,1.0,21.0,133.0,13.0,76.0,6.0,0.0,448,10,0,0.0,0.0,0.0
91,Lizaad Williams,South Africa,Africa,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,2,8.4,56.0,6.67
92,Jos Buttler,England,Europe,Batter,43.0,20.0,9.0,15.0,8.0,10.0,1.0,5.0,27.0,0.0,0.0,138,9,0,0.0,0.0,0.0
93,Moeen Ali,England,Europe,All-Rounder,11.0,0.0,0.0,0.0,15.0,15.0,42.0,4.0,8.0,0.0,0.0,95,9,5,42.4,248.0,5.85
94,Gus Atkinson,England,Europe,Bowler,0.0,0.0,0.0,35.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37,9,4,24.0,146.0,6.08
95,Jonny Bairstow,England,Europe,Batter,33.0,52.0,2.0,10.0,30.0,14.0,0.0,15.0,59.0,0.0,0.0,215,9,0,0.0,0.0,0.0
96,Sam Curran,England,Europe,All-Rounder,14.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,9,2,17.2,140.0,8.14
97,Liam Livingstone,England,Europe,All-Rounder,20.0,0.0,10.0,0.0,1.0,27.0,2.0,0.0,0.0,0.0,0.0,60,9,3,29.0,158.0,5.45
98,Dawid Malan,England,Europe,Batter,14.0,140.0,32.0,6.0,28.0,16.0,50.0,87.0,31.0,0.0,0.0,404,9,0,0.0,0.0,0.0
99,Adil Rashid,England,Europe,All-Rounder,15.0,11.0,20.0,10.0,2.0,13.0,20.0,1.0,0.0,0.0,0.0,92,9,15,79.4,371.0,4.67
100,Joe Root,England,Europe,Batter,77.0,82.0,11.0,2.0,3.0,0.0,13.0,28.0,60.0,0.0,0.0,276,9,1,10.1,67.0,6.63
101,Harry Brook,England,Europe,Batter,25.0,20.0,66.0,17.0,0.0,0.0,0.0,11.0,30.0,0.0,0.0,169,9,0,0.0,0.0,0.0
102,Ben Stokes,England,Europe,All-Rounder,0.0,0.0,0.0,5.0,43.0,0.0,64.0,108.0,84.0,0.0,0.0,304,9,0,0.0,0.0,0.0
103,Reece Topley,England,Europe,Bowler,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,9,8,27.4,183.0,6.68
104,David Willey,England,Europe,Bowler,0.0,0.0,0.0,12.0,14.0,16.0,15.0,6.0,15.0,0.0,0.0,78,9,11,51.0,259.0,5.08
105,Mark Wood,England,Europe,Bowler,13.0,6.0,18.0,43.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,85,9,6,54.0,349.0,6.46
106,Chirs Woakes,England,Europe,Bowler,11.0,14.0,9.0,0.0,0.0,10.0,32.0,51.0,4.0,0.0,0.0,131,9,10,55.0,298.0,5.42
107,Scott Edwards,Netherland,Europe,Batter,0.0,30.0,78.0,16.0,12.0,68.0,0.0,38.0,17.0,0.0,0.0,259,9,0,0.0,0.0,0.0
108,Max O'Dowd,Netherland,Europe,Batter,5.0,16.0,18.0,16.0,6.0,0.0,42.0,5.0,30.0,0.0,0.0,138,9,0,0.0,0.0,0.0
109,Bas de Leede,Netherland,Europe,Batter,67.0,18.0,2.0,6.0,4.0,17.0,3.0,10.0,12.0,0.0,0.0,139,9,16,67.0,487.0,7.27
110,Vikram Singh,Netherland,Europe,Batter,52.0,12.0,2.0,4.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,98,9,0,7.0,52.0,7.43
111,Teja Nidamanuru,Netherland,Europe,All-Rounder,5.0,21.0,20.0,9.0,14.0,0.0,0.0,41.0,54.0,0.0,0.0,164,9,0,0.0,0.0,0.0
112,C. Ackermann,Netherland,Europe,Batter,17.0,69.0,12.0,29.0,10.0,15.0,29.0,0.0,35.0,0.0,0.0,216,9,5,47.2,234.0,4.96
113,P. Van Meekran,Netherland,Europe,Bowler,7.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,26,9,12,74.2,447.0,6.02
114,Roelof van der Merwe,Netherland,Europe,Bowler,4.0,1.0,29.0,7.0,0.0,0.0,11.0,0.0,16.0,0.0,0.0,68,9,6,56.0,311.0,5.55
115,Logan van Beek,Netherland,Europe,Bowler,28.0,0.0,10.0,59.0,0.0,23.0,2.0,2.0,16.0,0.0,0.0,140,9,12,70.5,476.0,6.75
116,Aryan Dutt,Netherland,Europe,Bowler,1.0,11.0,23.0,9.0,1.0,9.0,10.0,1.0,5.0,0.0,0.0,70,9,10,77.3,426.0,5.51
117,Ryan Klein,Netherland,Europe,Bowler,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,9,0,10.0,62.0,6.2
118,Wesley Barresi,Netherland,Europe,Batter,0.0,0.0,0.0,0.0,0.0,41.0,1.0,37.0,4.0,0.0,0.0,83,9,0,0.0,0.0,0.0
