PlayerName,TeamName,Continent,Type,1,2,3,4,5,6,7,8,9,10,11,TotalRuns,MatchesPlayed,21,22,23,24,25,26,27,28,29,30,31,WicketsTaken,OversBowled,RunsConceded,Economy
Kagiso Rabada,South Africa,Africa,Bowler,0,0,9,0,0,,0,6,0,10,,25,10,2,3,2,1,2,0,1,1,0,1,0,13,72.5,364,5.02
Tabraiz Shamsi,South Africa,Africa,All-Rounder,,0,,,,4,,4,,1,,9,10,0,2,0,0,0,4,0,1,0,2,0,9,37.5,212,5.65
Rassie Van der Dussen,South Africa,Africa,Batter,108,26,4,60,1,21,133,13,76,6,,448,10,0,0,0,0,0,0,0,0,0,0,0,0,,,
Lizaad Williams,South Africa,Africa,Bowler,,,,,0,,,,,,,0,10,0,0,0,0,2,0,0,0,0,0,0,2,8.4,56,6.67
Jos Buttler,England,Europe,Batter,43,20,9,15,8,10,1,5,27,,,138,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Moeen Ali,England,Europe,All-Rounder,11,,,,15,15,42,4,8,,,95,9,0,0,0,0,0,0,0,3,2,0,0,5,42.4,248,5.85
Gus Atkinson,England,Europe,Bowler,,,,35,,,,2,0,,,37,9,0,0,0,2,0,0,0,0,2,0,0,4,24,146,6.08
Jonny Bairstow,England,Europe,Batter,33,52,2,10,30,14,0,15,59,,,215,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sam Curran,England,Europe,All-Rounder,14,11,10,,,,,,,,,35,9,1,1,0,0,0,0,0,0,0,0,0,2,17.2,140,8.14
Liam Livingstone,England,Europe,All-Rounder,20,0,10,,1,27,2,,,,,60,9,0,1,1,0,0,0,1,0,0,0,0,3,29,158,5.45
Dawid Malan,England,Europe,Batter,14,140,32,6,28,16,50,87,31,,,404,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Adil Rashid,England,Europe,All-Rounder,15,11,20,10,2,13,20,1,0,,,92,9,0,1,3,2,0,2,2,3,2,0,0,15,79.4,371,4.67
Joe Root,England,Europe,Batter,77,82,11,2,3,0,13,28,60,,,276,9,0,0,1,0,0,0,0,0,0,0,0,1,10.1,67,6.63
Harry Brook,England,Europe,Batter,25,20,66,17,,,,11,30,,,169,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ben Stokes,England,Europe,All-Rounder,,,,5,43,0,64,108,84,,,304,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Reece Topley,England,Europe,Bowler,,1,15,0,,,,,,,,16,9,0,4,1,3,0,0,0,0,0,0,0,8,27.4,183,6.68
David Willey,England,Europe,Bowler,,,,12,14,16,15,6,15,,,78,9,0,0,0,0,2,3,1,2,3,0,0,11,51,259,5.08
Mark Wood,England,Europe,Bowler,13,6,18,43,5,0,0,,,,,85,9,0,1,2,0,0,1,2,0,0,0,0,6,54,349,6.46
Chirs Woakes,England,Europe,Bowler,11,14,9,,0,10,32,51,4,,,131,9,0,2,0,0,0,2,4,1,1,0,0,10,55,298,5.42
Scott Edwards,Netherland,Europe,Batter,0,30,78,16,12,68,0,38,17,,,259,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Max O'Dowd,Netherland,Europe,Batter,5,16,18,16,6,0,42,5,30,,,138,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Bas de Leede,Netherland,Europe,Batter,67,18,2,6,4,17,3,10,12,,,139,9,4,1,2,0,2,2,0,3,2,0,0,16,67,487,7.27
Vikram Singh,Netherland,Europe,Batter,52,12,2,4,25,3,,,,,,98,9,0,0,0,0,0,0,0,0,0,0,0,0,7,52,7.43
Teja Nidamanuru,Netherland,Europe,All-Rounder,5,21,20,9,14,,,41,54,,,164,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
C. Ackermann,Netherland,Europe,Batter,17,69,12,29,10,15,29,0,35,,,216,9,2,0,1,1,0,1,0,0,0,0,0,5,47.2,234,4.96
P. Van Meekran,Netherland,Europe,Bowler,7,4,0,4,0,0,4,4,3,,,26,9,1,2,2,1,0,4,0,1,1,0,0,12,74.2,447,6.02
Roelof van der Merwe,Netherland,Europe,Bowler,4,1,29,7,0,,11,0,16,,,68,9,0,2,2,0,0,0,1,0,1,0,0,6,56,311,5.55
Logan van Beek,Netherland,Europe,Bowler,28,,10,59,0,23,2,2,16,,,140,9,1,0,3,0,4,1,1,2,0,0,0,12,70.5,476,6.75
Aryan Dutt,Netherland,Europe,Bowler,1,11,23,9,1,9,10,1,5,,,70,9,1,2,0,3,1,1,0,2,0,0,0,10,77.3,426,5.51
Ryan Klein,Netherland,Europe,Bowler,,8,,,,,,,,,,8,9,0,0,0,0,0,0,0,0,0,0,0,0,10,62,6.2
